key,name,shortName,mapFrom,mapTo,networkKey,networkName,networkShortName,familyKey,familyName,familyShortName,validationRegex,validationCaseSensitive
token.EVM.ETH.UCASH.address,Universal Cash,UCASH,,,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.UMA.address,UMA,UMA,crypto.UMA.address,crypto.UMA.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.UNI.address,Uniswap,UNI,crypto.UNI.version.ERC20.address,crypto.UNI.version.ERC20.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.UOS.address,UOS,UOS,crypto.UOS.address,crypto.UOS.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.UQC.address,UQC,UQC,crypto.UQC.address,crypto.UQC.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.USDC.address,USD Coin,USDC,crypto.USDC.version.ERC20.address|crypto.USDC.address,crypto.USDC.version.ERC20.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.USDN.address,USDN,USDN,crypto.USDN.address,crypto.USDN.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.USDP.address,USDP,USDP,crypto.USDP.address,crypto.USDP.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.USDT.address,Tether,USDT,crypto.USDT.version.ERC20.address,crypto.USDT.version.ERC20.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.VERSE.address,Verse,VERSE,crypto.VERSE.address,crypto.VERSE.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.VGX.address,VGX,VGX,crypto.VGX.address,crypto.VGX.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.WBTC.address,Wrapped Bitcoin,WBTC,crypto.WBTC.version.ERC20.address,crypto.WBTC.version.ERC20.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.WETH.address,Wrapped Ether,WETH,crypto.WETH.version.ERC20.address,crypto.WETH.version.ERC20.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.WIN.address,WIN,WIN,crypto.WIN.address,crypto.WIN.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.WOO.address,WOO,WOO,crypto.WOO.version.ERC20.address,crypto.WOO.version.ERC20.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.XAUT.address,XAUT,XAUT,crypto.XAUT.address,crypto.XAUT.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.XSUSHI.address,XSUSHI,XSUSHI,crypto.XSUSHI.address,crypto.XSUSHI.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.YFI.address,yearn.finance,YFI,crypto.YFI.address,crypto.YFI.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.YLD.address,Yield App,YLD,crypto.YLD.address,crypto.YLD.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.ZKS.address,ZKS,ZKS,crypto.ZKS.address,crypto.ZKS.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.ZMT.address,ZMT,ZMT,crypto.ZMT.address,crypto.ZMT.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.ZRX.address,0x,ZRX,crypto.ZRX.address,crypto.ZRX.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.FLR.FLR.address,Flare,FLR,crypto.FLR.address,crypto.FLR.address,token.EVM.FLR.address,Flare,FLR,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.FLR.SGB.address,Songbird,SGB,crypto.SGB.address,crypto.SGB.address,token.EVM.FLR.address,Flare,FLR,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.FTM.AAVE.address,AAVE (LEND),AAVE,crypto.AAVE.version.FANTOM.address,crypto.AAVE.version.FANTOM.address,token.EVM.FTM.address,Fantom,FTM,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.FTM.BAND.address,BAND,BAND,crypto.BAND.version.FANTOM.address,crypto.BAND.version.FANTOM.address,token.EVM.FTM.address,Fantom,FTM,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.FTM.CEL.address,Celsius,CEL,crypto.CEL.version.FANTOM.address,crypto.CEL.version.FANTOM.address,token.EVM.FTM.address,Fantom,FTM,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.FTM.CRV.address,CRV,CRV,crypto.CRV.version.FANTOM.address,crypto.CRV.version.FANTOM.address,token.EVM.FTM.address,Fantom,FTM,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.FTM.FTM.address,Fantom,FTM,crypto.FTM.version.OPERA.address,crypto.FTM.version.OPERA.address,token.EVM.FTM.address,Fantom,FTM,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
